Zona Portuaria,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA,Departamento,Latitud,Longitud
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,98737,0,0,0,0,0,0,0,2020,1,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,0,20630,0,0,0,1137,0,0,2020,6,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,29373,0,0,0,0,0,0,2021,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,13924,0,0,0,0,0,0,0,2020,11,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,3164,0,0,0,0,0,0,2020,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,170520,0,0,2000,0,0,0,2020,1,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,24475,0,0,0,0,0,0,2021,2,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,16643,0,0,0,0,0,0,2021,7,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,3124,0,0,0,0,0,0,2020,3,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,39790,0,0,0,0,0,0,0,2020,12,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,48,13746,0,0,0,572,0,0,2021,10,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,71617,0,0,3015,9199,0,0,2021,12,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,68,100761,0,0,0,571,0,0,2021,12,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,157049,0,0,5200,11038,0,0,2020,5,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,47340,0,0,0,0,0,0,0,2021,2,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,2277,0,0,0,0,0,0,2021,7,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,174252,0,0,2200,0,0,0,2020,7,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,19319,0,0,0,0,0,0,2021,1,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,91925,0,0,3888,0,0,0,2021,4,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,2393,0,0,0,0,0,0,2020,7,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL LIQUIDO,0,3801,0,0,0,0,0,0,2021,10,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,0,44614,0,0,0,0,0,0,2021,1,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CONTENEDORES,48471,59455,84,190,0,239,0,682,2020,8,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,2,33500,0,0,0,567,0,0,2021,6,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GENERAL,0,24230,0,0,0,0,0,0,2020,11,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,60291,0,0,0,0,0,0,0,2020,1,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,2176,0,0,0,0,0,0,2021,8,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,GRANEL LIQUIDO,0,1665,0,0,0,0,0,0,2020,8,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,81010,0,0,0,0,0,0,0,2020,2,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,0,29772,0,0,0,1116,0,0,2020,8,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,71245,0,0,0,0,0,0,0,2021,2,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,94514,0,0,2949,0,0,0,2020,12,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,60024,0,0,0,0,0,0,0,2020,9,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GENERAL,10,27661,0,0,0,553,0,0,2020,9,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,42066,0,0,0,0,0,0,0,2021,1,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,34294,0,0,0,0,0,0,0,2021,7,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,17595,0,0,0,0,0,0,0,2020,7,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,CARBON AL GRANEL,7940,0,0,0,0,0,0,0,2022,1,ATLÁNTICO,10.981520510121,-74.82771543881358
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,71958,0,0,0,0,0,0,0,2021,10,ATLÁNTICO,10.981520510121,-74.82771543881358
